configuration,family,width,run,seed,generator_parameters,best_wasserstein,best_epoch,checkpoint_selecting_batch_wasserstein,evaluation_marginal_wasserstein,fresh_wasserstein_median,fresh_wasserstein_std,fresh_wasserstein_min,fresh_wasserstein_max,qq_rmse,abs_acf_discrepancy_mae_lags_1_4,acf_discrepancy_mae_lags_1_4,leverage_discrepancy_mae_lags_1_4,n_generated_windows
TCNN-2,TCNN,2.0,2,100,29,0.000962790200523049,3890,0.0009531953917074956,0.0013500796407990771,0.0013504494972859152,4.718131672259345e-05,0.0012337999389646112,0.0014218104490142684,0.0027144841608048404,0.09603640585582485,0.027615673736668997,0.014600568550152793,10000
TCNN-4,TCNN,4.0,1,42,81,0.0008319552967625099,3480,0.0008386668873882068,0.0010155685933758458,0.0010102681356123637,3.386520851093871e-05,0.0009583748624067919,0.0010693932198416766,0.0019486924590060694,0.07603398867998751,0.03139676184807426,0.0018931291808818693,10000
TCNN-6,TCNN,6.0,2,100,157,0.0007193009644944131,2130,0.0007195429639810895,0.0008632574898172513,0.0008603084608366807,3.309341644904043e-05,0.0008010981862014888,0.0009132767276886384,0.0021707904767224993,0.07947458082555017,0.015826643665609992,0.00847177793122726,10000
TCNN-8,TCNN,8.0,0,2,257,0.0010454567716495803,3385,0.0010358141988059673,0.0013055445720203734,0.0013118635995339922,3.0486860671297085e-05,0.001240946504655826,0.001345862485432621,0.002506546148182373,0.08274337679853502,0.013149081658152841,0.014584099423542477,10000
Two-parameter,two-parameter,,1,42,2,0.005953835179824886,1645,0.005940145010870102,0.006070474049619137,0.006071125951439669,1.4878047746220115e-05,0.006046017642840292,0.006095489621737722,0.012424800449889696,0.07412942066137201,0.05996860657045842,0.012748515233258885,10000
