configuration,generator_parameters,n_completed_runs,middle_run,best_wasserstein_median,best_wasserstein_min,best_wasserstein_max,checkpoint_selecting_batch_wasserstein_median,checkpoint_selecting_batch_wasserstein_min,checkpoint_selecting_batch_wasserstein_max,evaluation_marginal_wasserstein_median,evaluation_marginal_wasserstein_min,evaluation_marginal_wasserstein_max,fresh_wasserstein_std_median,fresh_wasserstein_std_min,fresh_wasserstein_std_max,qq_rmse_median,qq_rmse_min,qq_rmse_max,abs_acf_discrepancy_mae_lags_1_4_median,abs_acf_discrepancy_mae_lags_1_4_min,abs_acf_discrepancy_mae_lags_1_4_max,acf_discrepancy_mae_lags_1_4_median,acf_discrepancy_mae_lags_1_4_min,acf_discrepancy_mae_lags_1_4_max,leverage_discrepancy_mae_lags_1_4_median,leverage_discrepancy_mae_lags_1_4_min,leverage_discrepancy_mae_lags_1_4_max
TCNN-2,29,3,2,0.000962790200523049,0.0008693049096477411,0.0012567592712326913,0.0009531953917074956,0.0008570675775841784,0.0012616566853817755,0.0013500796407990771,0.0008343789314739173,0.0014201427905216023,2.9574830356334854e-05,1.872114662042597e-05,4.718131672259345e-05,0.0022114704426580978,0.0020335002392587592,0.0027144841608048404,0.09603640585582485,0.0834640910527072,0.10737637420710627,0.0609680238108259,0.027615673736668997,0.09595150852010481,0.011809340445252905,0.010446150029210852,0.014600568550152793
TCNN-4,81,3,1,0.0008319552967625099,0.0008268158601495575,0.0009476300668968287,0.0008386668873882068,0.0008266799634038494,0.0009350706766632389,0.0010155685933758458,0.0009438625447942694,0.0011365468818836024,2.6174050171169252e-05,2.3089470391086744e-05,3.386520851093871e-05,0.002031940049846252,0.0019486924590060694,0.0025098843004452147,0.06611038820008452,0.03997446464208993,0.07603398867998751,0.03139676184807426,0.02319469221396876,0.05343319768679962,0.007675606702533987,0.0018931291808818693,0.01564195659390503
TCNN-6,157,3,2,0.0007193009644944131,0.0006990262805886643,0.0007383128314336382,0.0007195429639810895,0.0007045895945673769,0.0007464173525280171,0.0008632574898172513,0.0008585468995222437,0.0008867263606601318,2.7859130165204108e-05,2.5459377802007108e-05,3.309341644904043e-05,0.001996969755712894,0.0017168977751181782,0.0021707904767224993,0.0726924600084528,0.0714007115611688,0.07947458082555017,0.015826643665609992,0.006918669271663715,0.02496081207653428,0.00847177793122726,0.008340293609833684,0.011509896217349075
TCNN-8,257,3,0,0.0010454567716495803,0.000776891296042211,0.0023242200037782027,0.0010358141988059673,0.0007696730187793776,0.0023155270031444027,0.0013055445720203734,0.0009606056637737776,0.0025129592455028446,3.0486860671297085e-05,2.6855670034621393e-05,3.7823973174013624e-05,0.002506546148182373,0.0024464950402649506,0.004807635847668388,0.08274337679853502,0.06464042816635611,0.09590981183543902,0.013922334136165487,0.013149081658152841,0.04291186531626125,0.013760313927142364,0.012663941259809313,0.014584099423542477
Two-parameter,2,3,1,0.005953835179824886,0.005191835285171538,0.006116073269555124,0.005940145010870102,0.005176444578580956,0.006100841818794541,0.006070474049619137,0.005305438486767552,0.00624513887516178,1.9426661903904377e-05,1.4878047746220115e-05,2.240089573116724e-05,0.012424800449889696,0.009749118033361434,0.01248413322169819,0.07412942066137201,0.07260955158167198,0.0858734816695344,0.05996860657045842,0.036059829512992206,0.10574082407530164,0.01221358803357739,0.008995869557505047,0.012748515233258885
