Timestamp,Open,High,Low,Close,Volume,Log_return
2020-01-02,7174.7,7184.94,6900.0,6950.56,3972.70795427,-0.03229329027737427
2020-01-03,6945.7,7402.31,6853.53,7338.91,8072.72908749,0.05436809836637257
2020-01-04,7332.58,7396.1,7256.03,7344.48,3256.73735349,0.0007586804228685627
2020-01-05,7356.05,7495.0,7310.0,7356.7,2707.27385549,0.0016624519684020128
2020-01-06,7352.12,7817.0,7342.46,7762.74,6728.28277831,0.053723902028167826
2020-01-07,7768.17,8220.0,7697.03,8159.01,12158.32281238,0.04978747343026358
2020-01-08,8151.79,8463.57,7872.09,8044.44,11913.23248192,-0.014141668517198428
2020-01-09,8048.94,8048.94,7737.97,7806.78,5957.24423978,-0.029988582666622365
2020-01-10,7812.7,8200.0,7667.0,8200.0,8999.98825687,0.049141567367719
2020-01-11,8200.0,8286.0,8000.0,8016.22,3788.3273136000003,-0.02266716519452806
2020-01-12,8008.1,8190.0,7960.0,8180.76,2056.08675369,0.02031806675860516
2020-01-13,8180.75,8196.81,8039.0,8105.01,4011.43909644,-0.00930266684111372
2020-01-14,8105.01,8895.0,8105.01,8813.04,17009.43193382,0.08375005386362715
2020-01-15,8813.2,8903.2,8555.0,8809.17,8606.88339936,-0.00043921847057953097
2020-01-16,8810.62,8852.35,8573.91,8710.15,6713.2584764,-0.011304212085711078
2020-01-17,8715.39,9015.22,8661.52,8892.63,9363.15892644,0.020733831494114684
2020-01-18,8898.03,9000.1,8798.9,8908.53,3678.00926615,0.0017864009118932311
2020-01-19,8901.02,9188.1,8461.38,8696.6,8785.449927,-0.024077100027696686
2020-01-20,8698.97,8740.54,8507.93,8625.17,4420.19825219,-0.008247471810710014
2020-01-21,8629.66,8778.66,8480.0,8717.89,3394.68916005,0.010692563295652198
2020-01-22,8728.47,8792.98,8567.68,8655.93,3143.81212331,-0.007132600968489261
2020-01-23,8661.63,8665.95,8280.0,8378.44,8611.0107876,-0.03258289554864103
2020-01-24,8382.08,8530.7,8212.9,8422.13,6430.43023326,0.005201025737451887
2020-01-25,8435.83,8437.47,8252.72,8329.5,2812.78995216,-0.011059335016447808
2020-01-26,8320.0,8600.0,8276.22,8590.48,6340.58577579,0.030851182996347426
2020-01-27,8600.0,9004.35,8546.55,8894.54,9619.7747426,0.03478299197026043
2020-01-28,8894.57,9413.24,8876.0,9400.0,9565.55935515,0.05527208394171598
2020-01-29,9386.57,9443.96,9215.5,9289.18,6481.91594603,-0.011859407299681511
2020-01-30,9280.83,9570.0,9166.07,9500.0,7945.15877894,0.022441516630218494
2020-01-31,9510.84,9529.35,9195.93,9327.85,5009.62230695,-0.018287249745148792
2020-02-01,9339.26,9464.16,9280.33,9377.17,1669.00246242,0.005273462877518969
2020-02-02,9379.6,9474.28,9135.0,9329.39,3015.79158859,-0.0051083795100437795
2020-02-03,9309.69,9615.0,9211.07,9288.09,4758.13350441,-0.004436697957697542
2020-02-04,9281.0,9348.6,9075.0,9159.37,4867.22545881,-0.013955535242927874
2020-02-05,9168.49,9775.0,9142.52,9618.42,8063.96793828,0.04890261099612093
2020-02-06,9617.84,9859.57,9521.0,9754.63,7554.48867469,0.014062034064382056
2020-02-07,9754.63,9878.0,9706.94,9803.42,4013.49096731,0.0049892603004494645
2020-02-08,9803.71,9948.97,9658.58,9902.0,3268.73554695,0.010005452550082686
2020-02-09,9907.7,10178.54,9885.04,10173.97,4830.33787739,0.027095740764248283
2020-02-10,10173.51,10199.85,9731.2,9850.01,7560.66789084,-0.03236002729157103
2020-02-11,9851.99,10383.9,9706.94,10268.98,8127.59636283,0.04165523019304309
2020-02-12,10270.98,10495.0,10247.35,10348.78,6553.40942709,0.007740937762558591
2020-02-13,10348.78,10500.5,10068.0,10228.67,9347.45128374,-0.011674076631149596
2020-02-14,10229.19,10398.0,10093.26,10364.04,6190.37749036,0.013147560469756328
2020-02-15,10364.04,10408.04,9739.0,9899.78,5762.30634481,-0.045829587534712134
2020-02-16,9909.71,10051.24,9598.49,9912.89,4133.47675014,0.0013233957778913926
2020-02-17,9925.96,9973.45,9467.57,9697.15,5913.20492551,-0.02200390254486582
2020-02-18,9725.57,10288.0,9602.6,10185.17,6754.35394103,0.0491007128476096
2020-02-19,10190.3,10300.0,9312.0,9595.72,9936.8206814,-0.0596155750248122
2020-02-20,9589.1,9706.27,9396.91,9612.76,6608.4910792,0.0017742168531753506
2020-02-21,9610.4,9773.2,9562.6,9696.13,4271.47074293,0.008635454247433545
2020-02-22,9696.13,9722.39,9568.51,9668.13,2096.56353593,-0.002891927655819229
2020-02-23,9664.08,10024.08,9664.08,9965.21,3329.22433648,0.03026511802884557
2020-02-24,9969.79,10027.66,9480.0,9652.58,5877.00770771,-0.03187479007066596
2020-02-25,9664.87,9682.73,9234.21,9305.4,6280.00295543,-0.03663036031887195
2020-02-26,9305.4,9369.99,8627.78,8779.36,11564.19794381,-0.05819136475961565
2020-02-27,8778.37,8974.75,8520.0,8816.5,9273.9036636,0.004221453814131644
2020-02-28,8816.5,8900.94,8421.49,8703.84,6546.98122765,-0.01286065827415298
2020-02-29,8710.0,8805.06,8525.0,8527.74,2338.06785643,-0.02043992843784001
2020-03-01,8525.0,8756.11,8410.0,8528.95,4156.57173933,0.00014187981396508053
2020-03-02,8516.0,8980.34,8486.72,8917.34,6186.86088929,0.04453143687374415
2020-03-03,8917.34,8921.8,8660.04,8755.45,4629.97228611,-0.018321332224178966
2020-03-04,8755.45,8850.0,8663.76,8753.28,3353.2325223,-0.0002478763463838528
2020-03-05,8757.79,9169.0,8757.79,9066.65,6448.68567336,0.03517435912586367
2020-03-06,9059.0,9187.85,8990.01,9153.79,4136.42339429,0.00956515478053722
2020-03-07,9154.1,9219.13,8859.49,8893.93,2805.5915714,-0.02879897959434019
2020-03-08,8901.12,8901.12,7995.48,8033.7,9068.89040196,-0.10172382764264568
2020-03-09,8035.79,8191.13,7636.0,7936.25,12177.39425093,-0.012204322437886942
2020-03-10,7937.2,8158.42,7733.99,7885.92,8274.9537573,-0.006361980658523247
2020-03-11,7893.63,7988.78,7591.99,7934.57,7289.61145281,0.006150271369869626
2020-03-12,7956.29,7969.9,4776.59,4841.67,58513.38918903,-0.4939694596760823
2020-03-13,4841.67,5990.35,3850.0,5622.74,54419.64133553,0.14955938704060256
2020-03-14,5623.16,5663.01,5051.0,5169.37,15370.8681496,-0.08406826534974021
2020-03-15,5167.38,5965.77,5092.34,5343.64,16589.303863780002,0.03315624446709302
2020-03-16,5353.04,5353.04,4435.89,5033.42,34905.46359769,-0.05980739514816401
2020-03-17,5051.41,5569.9,4936.0,5324.99,17517.84242049,0.05631116011187519
2020-03-18,5340.95,5452.43,5006.87,5406.92,22559.23112903,0.015268780995670621
2020-03-19,5413.0,6433.98,5266.38,6181.18,24783.73487365,0.13382957709936516
2020-03-20,6192.94,7139.0,5670.0,6210.14,30082.50248252,0.0046742482201938525
2020-03-21,6207.66,6461.91,5866.44,6187.78,11796.72656887,-0.0036070605784862533
2020-03-22,6199.17,6419.0,5705.0,5813.15,10813.38456907,-0.06245378677801253
2020-03-23,5816.57,6629.79,5686.34,6493.51,19053.80456405,0.11068062395017808
2020-03-24,6494.7,6893.0,6400.01,6768.64,19719.09402414,0.04149696391254893
2020-03-25,6768.64,6989.04,6457.17,6692.22,16675.73512097,-0.01135452282199079
2020-03-26,6695.47,6798.89,6528.07,6760.72,7393.70723365,0.010183735600024533
2020-03-27,6765.15,6872.67,6210.0,6376.03,10816.28556504,-0.05858374663780903
2020-03-28,6376.03,6376.03,6030.51,6253.08,11613.49398164,-0.019471504258867973
2020-03-29,6275.11,6278.24,5869.0,5870.9,9298.9390511,-0.06306619829872588
2020-03-30,5878.47,6630.0,5856.0,6407.77,14974.444163,0.08750337242415285
2020-03-31,6408.95,6527.24,6337.42,6421.14,6342.29832651,0.002084355543929826
2020-04-01,6428.74,6710.21,6137.71,6652.07,11319.14793815,0.03533241239462049
2020-04-02,6669.95,7236.39,6575.13,6801.99,17212.82067331,0.022287132001841285
2020-04-03,6789.63,7047.96,6610.0,6742.57,10570.10640235,-0.008774058544408918
2020-04-04,6737.36,7014.0,6655.54,6879.61,6018.51563233,0.02012080640834828
2020-04-05,6887.22,6914.01,6678.51,6775.2,3981.97692417,-0.01529307766677374
2020-04-06,6780.57,7376.59,6773.75,7352.43,13683.03789416,0.08176198420420579
2020-04-07,7335.85,7469.0,7077.0,7202.73,11669.014265239999,-0.020570750006296774
2020-04-08,7204.78,7428.95,7152.0,7367.36,8720.21050049,0.02259931225070732
2020-04-09,7370.85,7376.59,7107.38,7293.93,8324.9217727,-0.010016937662413409
2020-04-10,7299.12,7306.1,6750.15,6877.03,10727.86685616,-0.058855622715959746
2020-04-11,6866.03,6955.59,6771.24,6883.18,3326.67476213,0.000893881766266692
2020-04-12,6882.75,7201.76,6790.74,6908.24,7264.51928043,0.003634147546905297
2020-04-13,6908.21,6914.01,6542.91,6864.22,10837.57453223,-0.006392489054586258
2020-04-14,6864.66,6991.0,6766.96,6879.75,7275.68657382,0.002259901121656427
2020-04-15,6868.88,6940.0,6598.55,6619.0,8109.73234254,-0.0386380129389518
2020-04-16,6619.0,7224.18,6472.67,7111.67,15726.69637377,0.07179279554833976
2020-04-17,7121.35,7158.22,6995.39,7024.19,8539.61835086,-0.012377190604262582
2020-04-18,7020.13,7306.15,7020.13,7262.26,5102.50261952,0.03333116907951924
2020-04-19,7265.94,7276.21,7057.46,7126.4,4662.19209244,-0.018884877079470914
2020-04-20,7124.27,7220.0,6757.75,6841.0,11365.00931766,-0.04087227830205049
2020-04-21,6833.0,6950.98,6774.48,6854.98,5570.95619043,0.0020414756527505342
2020-04-22,6850.6,7171.26,6819.59,7137.79,6273.40631495,0.04042780919797639
2020-04-23,7138.29,7756.69,7031.07,7484.58,14779.54814354,0.04744169944320518
2020-04-24,7494.2,7612.91,7391.57,7505.53,7357.10670681,0.0027951781061286225
2020-04-25,7518.81,7723.77,7432.8,7547.56,3800.82773036,0.005584250040539571
2020-04-26,7547.56,7718.0,7485.0,7701.73,5247.54081807,0.020220646729131337
2020-04-27,7708.87,7813.68,7637.03,7786.41,6878.02253788,0.010934927471287565
2020-04-28,7794.22,7798.42,7650.0,7767.79,7248.9559695,-0.002394209781862893
2020-04-29,7762.07,8970.0,7717.14,8790.32,26396.09715679,0.1236654194021106
2020-04-30,8789.79,9485.26,8407.0,8627.32,24057.73933525,-0.01871720378557347
2020-05-01,8629.72,9075.0,8616.17,8832.44,11379.68574201,0.02349739487984786
2020-05-02,8836.0,9022.0,8760.0,8983.79,5524.26706572,0.01699053513985216
2020-05-03,8982.56,9207.82,8723.78,8915.98,9218.274909,-0.007576669911514618
2020-05-04,8924.14,8974.34,8528.42,8882.87,10018.97499887,-0.003720469377749465
2020-05-05,8889.24,9120.0,8760.1,9034.85,9592.13446226,0.016964618818452303
2020-05-06,9040.0,9417.95,8921.03,9154.32,15110.941813290001,0.013136577212686339
2020-05-07,9163.63,10074.0,9030.03,10000.0,25012.90031203,0.0883591939779168
