model,layer,middle_run,training_seed,selected_run_best_wasserstein,selected_run_best_epoch,evaluation_marginal_wasserstein,qq_rmse,n_generated_windows,abs_acf_discrepancy_mae_lags_1_4,real_abs_acf_lag_1,generated_abs_acf_lag_1,delta_abs_acf_lag_1,real_abs_acf_lag_2,generated_abs_acf_lag_2,delta_abs_acf_lag_2,real_abs_acf_lag_3,generated_abs_acf_lag_3,delta_abs_acf_lag_3,real_abs_acf_lag_4,generated_abs_acf_lag_4,delta_abs_acf_lag_4,acf_discrepancy_mae_lags_1_4,real_acf_lag_1,generated_acf_lag_1,delta_acf_lag_1,real_acf_lag_2,generated_acf_lag_2,delta_acf_lag_2,real_acf_lag_3,generated_acf_lag_3,delta_acf_lag_3,real_acf_lag_4,generated_acf_lag_4,delta_acf_lag_4,leverage_discrepancy_mae_lags_1_4,real_leverage_lag_1,generated_leverage_lag_1,delta_leverage_lag_1,real_leverage_lag_2,generated_leverage_lag_2,delta_leverage_lag_2,real_leverage_lag_3,generated_leverage_lag_3,delta_leverage_lag_3,real_leverage_lag_4,generated_leverage_lag_4,delta_leverage_lag_4
ZZ,1,0,2,0.0019217785120149433,1975,0.0022705402700269337,0.00349345762501081,2297,0.07290948966724684,0.13006207751393836,0.026539367841071696,-0.10352270967286667,0.09593669419573395,0.06987523695105423,-0.026061457244679717,0.035167297876031504,-0.0029823210436878706,-0.03814961891971937,0.10968820997700097,-0.01421596285472062,-0.12390417283172159,0.02154178708907948,-0.05013990384424683,0.010902043561777462,0.0610419474060243,0.017281764105095763,0.007226219117158781,-0.010055544987936982,-0.0017305000683783016,0.002882208419030861,0.004612708487409163,-0.008055910889108644,0.0024010365858388267,0.010456947474947471,0.013880189298375978,-0.031703391218309354,-0.00030257702168421063,0.031400814196625146,-0.004294261045179458,-0.009358673873001088,-0.00506441282782163,-0.02106243519938231,-0.007477548026223594,0.013584887173158717,-0.0008850211670192292,-0.006355664162917648,-0.005470642995898419
ZZ,2,2,100,0.005462334362067593,1190,0.005955595595925484,0.009042965828763138,2297,0.05381265072438116,0.13006207751393836,0.18103845687449713,0.050976379360558766,0.09593669419573395,0.056104322684466294,-0.03983237151126765,0.035167297876031504,0.020204257473433188,-0.014963040402598316,0.10968820997700097,0.00020939835390104876,-0.10947881162309993,0.03784166217485427,-0.05013990384424683,0.07355431058581356,0.1236942144300604,0.017281764105095763,0.023532634183510953,0.00625087007841519,-0.0017305000683783016,0.0036885155923312516,0.005419015660709553,-0.008055910889108644,0.0079466376411233,0.016002548530231944,0.061308615869064595,-0.031703391218309354,0.07983516857608372,0.11153855979439307,-0.004294261045179458,0.04440936600771948,0.048703627052898935,-0.02106243519938231,0.031939663186639926,0.05300209838602224,-0.0008850211670192292,0.031105157075924893,0.031990178242944124
ZZ,3,2,100,0.0015145984580893623,3395,0.0018471289449244286,0.0032275569697694617,2297,0.042859989435890936,0.13006207751393836,0.13707219456540815,0.007010117051469783,0.09593669419573395,0.05718264136063672,-0.038754052835097225,0.035167297876031504,0.00984852150735027,-0.025318776368681233,0.10968820997700097,0.009331198488685471,-0.10035701148831551,0.034483229359356334,-0.05013990384424683,0.05916517262386482,0.10930507646811166,0.017281764105095763,0.0017179243799360898,-0.015563839725159673,-0.0017305000683783016,0.0024650399879538256,0.0041955400563321275,-0.008055910889108644,0.0008125502987132134,0.008868461187821856,0.014920708254515342,-0.031703391218309354,0.0025794585030409164,0.03428284972135027,-0.004294261045179458,4.2069979089981257e-05,0.0043363310242694394,-0.02106243519938231,-0.004864797871950608,0.0161976373274317,-0.0008850211670192292,0.003980993777990732,0.004866014945009961
ZZ,4,0,2,0.0029033651959131943,315,0.0033487783014818397,0.0036954832224299597,2297,0.055028738977958375,0.13006207751393836,0.11544496178594328,-0.01461711572799508,0.09593669419573395,0.031836391361473225,-0.06410030283426071,0.035167297876031504,-0.00590834691026951,-0.04107564478630101,0.10968820997700097,0.009366317413724281,-0.1003218925632767,0.026576790014100793,-0.05013990384424683,0.04022054904500383,0.09036045288925065,0.017281764105095763,0.01346938817546623,-0.003812375929629533,-0.0017305000683783016,0.005199334795242815,0.006929834863621117,-0.008055910889108644,-0.0028514145152067783,0.0052044963739018655,0.03590264719067821,-0.031703391218309354,0.024759703656509886,0.056463094874819236,-0.004294261045179458,0.019290216473614574,0.02358447751879403,-0.02106243519938231,0.019272510097134144,0.040334945296516454,-0.0008850211670192292,0.022343049905563895,0.023228071072583123
ZZ-CRX,1,1,42,0.0023440257604173944,515,0.002492770529610504,0.004664103972419,2297,0.059665752776688556,0.13006207751393836,0.11567943938764462,-0.014382638126293742,0.09593669419573395,0.01998646352006932,-0.07595023067566463,0.035167297876031504,-0.006696855388281723,-0.041864153264313225,0.10968820997700097,0.0032222209365183516,-0.10646598904048263,0.021302220592627243,-0.05013990384424683,-0.019267931873486823,0.03087197197076001,0.017281764105095763,-0.028380564880993605,-0.045662328986089365,-0.0017305000683783016,-0.006804592773485435,-0.005074092705107134,-0.008055910889108644,-0.004455422180556177,0.0036004887085524665,0.024115185463823834,-0.031703391218309354,-0.09428252387769018,-0.06257913265938082,-0.004294261045179458,-0.010540840278910746,-0.006246579233731288,-0.02106243519938231,0.0020565718680216026,0.023119007067403913,-0.0008850211670192292,-0.0054010440617985435,-0.004516022894779315
ZZ-CRX,2,2,100,0.003014003785137688,1415,0.0034087310133363914,0.006394507636353,2297,0.054059882249693575,0.13006207751393836,0.13571799223521752,0.005655914721279159,0.09593669419573395,0.036524508383557974,-0.05941218581217597,0.035167297876031504,-0.0022064352633865223,-0.037373733139418025,0.10968820997700097,-0.004109485348900156,-0.11379769532590113,0.04229772864425463,-0.05013990384424683,0.0355788967245241,0.08571880056877093,0.017281764105095763,-0.052013504472701866,-0.06929526857779764,-0.0017305000683783016,0.003231648727532132,0.0049621487959104335,-0.008055910889108644,0.0011587857454308898,0.009214696634539533,0.014076015091566708,-0.031703391218309354,-0.008107493502270292,0.023595897716039062,-0.004294261045179458,-0.007369839204499348,-0.0030755781593198896,-0.02106243519938231,0.002043045036370615,0.023105480235752925,-0.0008850211670192292,0.005642083088135724,0.006527104255154953
ZZ-CRX,3,1,42,0.004228698474661506,3880,0.004369249429514657,0.008308988854568305,2297,0.041284849377045296,0.13006207751393836,0.11818693159793056,-0.011875145916007801,0.09593669419573395,0.06582835353604326,-0.03010834065969069,0.035167297876031504,0.015502654963370284,-0.01966464291266122,0.10968820997700097,0.006196941957179504,-0.10349126801982148,0.04184934333038536,-0.05013990384424683,0.07836362468680245,0.1285035285310493,0.017281764105095763,-0.011864481164918032,-0.029146245270013797,-0.0017305000683783016,-0.005812451371960881,-0.0040819513035825795,-0.008055910889108644,-0.0023902626722128633,0.0056656482168957805,0.0132841546497854,-0.031703391218309354,-0.05111905332142437,-0.019415662103115017,-0.004294261045179458,0.013743101780449475,0.018037362825628935,-0.02106243519938231,-0.015663958264046405,0.005398476935335905,-0.0008850211670192292,-0.011170137902080974,-0.010285116735061745
ZZ-CRX,4,0,2,0.005828857992624389,3880,0.006116174943954053,0.008269807722841098,2297,0.0725210539709892,0.13006207751393836,0.03754340374420749,-0.09251867376973087,0.09593669419573395,0.022125678658438293,-0.07381101553729566,0.035167297876031504,0.009813718962611094,-0.02535357891342041,0.10968820997700097,0.011287262313491135,-0.09840094766350985,0.021200084126289376,-0.05013990384424683,0.0008196268924001852,0.05095953073664702,0.017281764105095763,0.010541684694805023,-0.00674007941029074,-0.0017305000683783016,0.020527192926543678,0.02225769299492198,-0.008055910889108644,-0.0032128775258108773,0.004843033363297767,0.024911339628976,-0.031703391218309354,0.014934747292030075,0.04663813851033943,-0.004294261045179458,0.0012062194409566502,0.005500480486136108,-0.02106243519938231,0.011046167873567362,0.032108603072949674,-0.0008850211670192292,0.01451311527945956,0.01539813644647879
ZZ time evolution,1,0,2,0.0019217785120149433,1975,0.0022705402700269337,0.00349345762501081,2297,0.07290948966724684,0.13006207751393836,0.026539367841071696,-0.10352270967286667,0.09593669419573395,0.06987523695105423,-0.026061457244679717,0.035167297876031504,-0.0029823210436878706,-0.03814961891971937,0.10968820997700097,-0.01421596285472062,-0.12390417283172159,0.02154178708907948,-0.05013990384424683,0.010902043561777462,0.0610419474060243,0.017281764105095763,0.007226219117158781,-0.010055544987936982,-0.0017305000683783016,0.002882208419030861,0.004612708487409163,-0.008055910889108644,0.0024010365858388267,0.010456947474947471,0.013880189298375978,-0.031703391218309354,-0.00030257702168421063,0.031400814196625146,-0.004294261045179458,-0.009358673873001088,-0.00506441282782163,-0.02106243519938231,-0.007477548026223594,0.013584887173158717,-0.0008850211670192292,-0.006355664162917648,-0.005470642995898419
ZZ time evolution,2,2,100,0.0016689765764956476,3365,0.002111229382152138,0.003087930698636666,2297,0.08570814571143077,0.13006207751393836,0.020744932622128214,-0.10931714489181014,0.09593669419573395,0.05554596052542785,-0.04039073367030609,0.035167297876031504,-0.019476844512479493,-0.054644142388510994,0.10968820997700097,-0.02879235191809492,-0.1384805618950959,0.019372146078486804,-0.05013990384424683,0.0029851560640510645,0.0531250599082979,0.017281764105095763,0.024142460864994702,0.006860696759898938,-0.0017305000683783016,-0.001161571161826931,0.0005689289065513707,-0.008055910889108644,0.00887798785009037,0.016933898739199014,0.015310357873730657,-0.031703391218309354,0.007140345750469766,0.03884373696877912,-0.004294261045179458,-0.009209028354208877,-0.004914767309029419,-0.02106243519938231,-0.011068197565095224,0.009994237634287086,-0.0008850211670192292,-0.008373710749846228,-0.007488689582826999
