lag,raw_acf_lower,raw_acf_upper,absolute_acf_lower,absolute_acf_upper,leverage_lower,leverage_upper
1,-0.14129550266192917,-0.010491713786378483,0.08716408969216746,0.205013924368561,-0.13834647520984925,-0.031169393845616754
2,-0.013905411468141214,0.09770746439026547,0.043564712985866526,0.11999363158670785,-0.08732497071780095,-0.0033200023725660716
3,-0.06459282446689621,0.02808141266893247,0.00596761743712032,0.09503352328176054,-0.08171319116326935,0.0020699628531029644
4,-0.021613824500555982,0.10745814379195773,0.05560380295855747,0.17139724218152153,-0.09711105036498766,0.03839535930547854
5,-0.04159900076300823,0.047273089066789994,0.04025943655218674,0.12480644167348616,-0.06254651036900898,0.029105612598535575
6,-0.04018971777284546,0.0496673623109108,0.04711530662605968,0.14117760329125048,-0.03964932127974957,0.0366962526203488
7,-0.07328462818138036,0.04612190826068372,0.04474850816401418,0.15819686863655558,-0.05229966877018699,0.031092114354121854
