window,lag,raw_acf,absolute_acf,leverage
0,1,-0.19857948290031402,-0.17266793192452978,-0.2985075639909693
0,2,-0.026544255248327934,-0.34400742657828404,-0.040660159165274636
0,3,0.14808046070616962,0.16574560546990777,-0.04056436777549899
0,4,0.3688685608283737,0.5429990393952661,0.5025530548825087
0,5,-0.3103430634461431,-0.1017564199098182,-0.5008932921532399
0,6,-0.22196858614770099,-0.2951312112684827,-0.22742791514279684
0,7,0.7150591551047912,0.4584376955837562,0.5540666609500792
1,1,-0.11422201462268519,-0.21351894780953415,-0.19384745307926984
1,2,-0.06638138043775382,-0.10882142952988269,-0.015948771837387486
1,3,-0.008658270932490282,0.20981870801464636,-0.23183957573102143
1,4,0.38819539212872456,0.19691074376664947,0.432213373484522
1,5,-0.33784137458775215,0.026097667965359565,-0.45749913975688045
1,6,-0.2021595406281066,-0.4207607466072919,-0.4512761942329949
1,7,0.4446201200880686,0.3379524725743321,0.5196454558774575
2,1,-0.28158699234508355,-0.25685782094755566,-0.27478022913126066
2,2,0.06097067113686419,-0.030534422422625513,0.10401610061597819
2,3,-0.027717503408572604,0.047084305411817295,-0.3222532295881342
2,4,0.46371835347263285,0.16381464989421507,0.40693925146843696
2,5,-0.4359375617047976,0.1363953489091213,-0.44747057563371284
2,6,-0.38248808290330094,-0.34327460065808457,-0.3417907915822851
2,7,0.2770070309631146,-0.08144651028903013,-0.08195792062845154
3,1,-0.19222238098453245,-0.32755504374242733,-0.16019989211822835
3,2,0.03017714935714502,0.005578435176496774,0.2326738029071852
3,3,-0.047273425095057595,0.21087542593663158,-0.32312058047399383
3,4,0.05068128901168254,-0.13630924822817486,-0.14680814873890233
3,5,-0.17821165907124414,0.13864756815496143,0.013876194639693196
3,6,-0.2095988798101424,-0.07633259718435237,-0.10097287372906509
3,7,0.02232218185790036,-0.02877688440964408,-0.1715378126370778
4,1,0.11504870751880192,-0.12767725169856073,-0.029672254823621538
4,2,-0.06007842251584941,-0.014712783753685453,0.03322221723927748
4,3,0.043785868198893206,0.026541133891979696,-0.13061263091413344
4,4,0.008490846017352727,-0.1690203315462566,-0.12355703337699912
4,5,-0.41751860248199596,0.1357373294074296,-0.14672125995274132
4,6,-0.10785941638817442,-0.2236464568801622,-0.054390125717082606
4,7,0.10567108409759152,-0.15585906644415679,-0.1476818781850082
5,1,0.14419155410663279,0.08627331126075045,0.21120792774376118
5,2,0.23867455738466922,0.1332968333094268,0.15114937256336544
5,3,-0.25815387732949147,-0.04799276348774026,-0.3268283912476791
5,4,0.015930210152238264,-0.15397356366045534,-0.39876020388714917
5,5,-0.46433114450898066,-0.0554840921465592,-0.4643154812879377
5,6,0.025576938899235433,-0.3535428288783188,0.07324789964307545
5,7,-0.2510682043438707,0.04491839373523724,0.18578273241501778
6,1,0.13867333582656724,0.31551223537165446,0.2213285818455687
6,2,0.3968842957339284,0.20039645941915954,0.17680844221950673
6,3,-0.3010214377854853,-0.0534934052480026,-0.36740268848456986
6,4,-0.114954878246096,-0.2031439110071354,-0.2929827218146247
6,5,-0.5610778778184605,-0.11559220061100753,-0.7574810416766312
6,6,0.03842914514745717,-0.8055463327341584,-0.4166466891361271
6,7,-0.3881142075716227,-0.4196577623999196,-0.316200769580853
7,1,0.09316451432244335,0.15339385953648735,-0.010449023359574204
7,2,0.31130352362766567,-0.16685655556087067,-0.027755978349034535
7,3,-0.3403542572491623,-0.16323145625663565,-0.2710797873305629
7,4,-0.022684609820672927,-0.25339502383988105,-0.20093765344081552
7,5,-0.5833767350163489,0.06861126720495503,-0.7621937189056827
7,6,0.21762130060986845,-0.2570362439840476,-0.13838266834863536
7,7,-0.43093312712205123,-0.2764394909429701,-0.4589214035007098
8,1,0.08344054938861932,0.24564351897165834,-0.11926084468884568
8,2,0.27256744450136994,-0.09191354714138605,-0.15588480056278012
8,3,-0.07268904861749763,-0.19476087818610308,-0.3714588037025497
8,4,0.15778440144429792,-0.103920984040324,-0.25881632270087573
8,5,-0.5378072424681543,0.045540183190387065,-0.4938181904689984
8,6,0.13779038894010884,-0.22924447998696898,-0.2596569760115272
8,7,-0.2545970280777786,-0.44514432876101345,-0.5984726648872578
9,1,-0.35200351319059814,0.24547618121768322,-0.4619737563513482
9,2,0.0770910766640637,-0.28105240443122786,-0.1382902427250919
9,3,0.17002624935719265,-0.32986858966705906,-0.08170647652258504
9,4,0.1648305446155857,0.029365637056418117,-0.036414065960997666
9,5,-0.5281196308700047,0.5308126015598225,-0.10710669941163521
9,6,0.6964172315469386,0.64292375735805,0.38642313946529416
9,7,-0.18865140926893134,-0.44254203574310613,-0.5057142768326456
10,1,-0.2949993711642663,0.01234871850730617,-0.2172165384929792
10,2,0.09403567780016216,-0.220833827924119,-0.24861555072274938
10,3,0.1797978413102504,-0.4061218553912299,-0.16659585542641409
10,4,-0.2445471870577222,0.18960018142740348,0.18302712141130806
10,5,0.05478120743254669,0.3080963716776618,-0.3845830550316883
10,6,0.2133362172801719,0.44508513487629153,0.3303432395043503
10,7,-0.15081272435505838,-0.351651253226031,-0.4776211592624679
11,1,-0.4580839419342273,0.0811298390160828,0.019923980428769087
11,2,0.2543683512978712,-0.2649929621646171,-0.21067511166545097
11,3,-0.06696661815064374,-0.28316513159739837,-0.2498882984347968
11,4,0.1725707663850517,0.31978591308471926,-0.1498235506541469
11,5,-0.10945984614303438,-0.09388015391391691,-0.24715919813989226
11,6,0.15880496053852508,-0.0010675769777979056,0.06960993792057824
11,7,0.17444422362845866,-0.22493724114928199,-0.006168883190393834
12,1,-0.5558191480234909,0.08742185969920654,0.30595451808891144
12,2,0.2577869216814279,-0.3379679453523214,-0.09693172054705682
12,3,-0.09352871155994809,-0.4719299187984234,-0.08378877496981937
12,4,0.09854044744148392,0.24933635213474392,-0.23703921026244582
12,5,0.04093157772278422,-0.17984440578910205,-0.09011723103230303
12,6,-0.17269928784737118,-0.09999253750407752,0.12274771429510065
12,7,0.310226317358178,-0.12109729132423681,0.4330541499705977
13,1,-0.4091639550113207,0.06677947016097725,0.29030912438325956
13,2,0.09314544584094081,-0.3546886486185044,-0.11337095033183806
13,3,-0.11763400655976894,-0.49752255598896933,-0.03522673470411825
13,4,-0.09158740170647792,0.2897608469189423,-0.11822348493189987
13,5,0.33335490978852245,-0.172860922335803,0.004490016185208414
13,6,-0.0190228880063826,0.03570446757695055,0.022407167501246317
13,7,0.17865140846696967,0.04047640706068843,0.5452755496266914
14,1,-0.17827047126753953,0.05462917953344159,0.3170204704392046
14,2,0.3214024924492486,-0.2944501556801926,-0.043489349445002407
14,3,-0.25759385694752723,-0.300284877542915,0.24379931115045758
14,4,0.16835367142538557,-0.08915595862452332,-0.2631054228392888
14,5,0.1086159113113688,-0.16225115875332746,0.18846790195958643
14,6,0.04655270538308582,0.09390661075488721,-0.04327943781621169
14,7,0.2973339407891502,0.5395833901269304,-0.24246249791914026
15,1,-0.11193363034567021,0.07774399205987491,0.2448411946294418
15,2,0.13409965443798272,-0.2427100680866983,-0.0597221074353447
15,3,-0.013824361949688026,-0.42602341820294515,0.40844121807537
15,4,-0.056550718524085844,-0.464945189906995,0.14109397219555178
15,5,0.06783644622394397,0.18961383103043442,0.05591400268838722
15,6,-0.21854237675862243,0.24443746831997099,-0.09842055806279332
15,7,0.11815199226350062,0.5791490905274825,-0.5708358153829238
16,1,0.10834713885132839,-0.14970856917446132,0.07231917639718762
16,2,-0.02078581066845996,-0.14651938858186564,0.056336360636279094
16,3,0.11687035173908973,-0.077956272012156,0.544804197825748
16,4,-0.004761939767010292,-0.5303557955350643,0.3005621618893028
16,5,-0.1518090256049904,0.14249578283908904,0.04005741638087759
16,6,0.07991557737046588,0.12572001114046427,0.0005275008309671659
16,7,0.3648723832214991,0.24793302294378045,-0.37011023960306366
17,1,0.22118852788929833,-0.02779408029388855,-0.23497227094001147
17,2,-0.0984578997750516,-0.1236604853691715,0.03192211623531458
17,3,-0.12337057935106936,0.18373050083539286,0.4261130875088642
17,4,0.18456927263378956,-0.5438612858373616,0.0573691433870731
17,5,-0.1529159538828497,0.1548171245989236,-0.18908032636429914
17,6,-0.43816025254935576,0.3141157055106647,0.4790120071818776
17,7,0.01097915303358322,-0.4339754205205021,0.05186383363843463
18,1,0.30352336962831294,-0.07287220998446994,-0.1499266295179947
18,2,-0.10054657666016799,-0.27813668758635346,0.20178719155686375
18,3,-0.05835463464847205,0.05829146357764015,0.46237111121510105
18,4,0.10687821864990979,-0.4345060162834263,0.05951118834412328
18,5,-0.19869890348011818,0.1466381750759971,-0.23689905388400295
18,6,-0.3979487460549977,0.34504696128948487,0.4542618177484531
18,7,0.09176635197414265,-0.417317451442487,0.10217081643316983
19,1,-0.31185376728788683,0.25505008288687153,-0.06948983130910032
19,2,0.17344309687985113,0.08272775192019635,-0.03887066732497723
19,3,0.00941831144482727,-0.034398844703816205,-0.026654606735430336
19,4,0.23052618425343613,0.17642096115794295,-0.2565020866913071
19,5,0.0018225387689336369,0.07822566602613362,-0.10748561574155623
19,6,-0.025440729974779763,0.012405423561126405,0.015161805543766586
19,7,-0.07940408734799605,0.027164634281246058,0.11230813774760585
20,1,-0.33426819786450634,0.2651243579422611,-0.06929128741650159
20,2,0.21786329537328888,0.10009360641613273,-0.039574728463807114
20,3,-0.11286665799525784,0.025111039792658857,-0.02470900783579672
20,4,0.3963498203250008,0.2929242651341115,-0.26301294402733577
20,5,-0.13141578860388395,0.16435383856983293,-0.11753247278726653
20,6,-0.019765335282020628,0.006205673659451801,0.014656636770609646
20,7,-0.09850918492694101,0.03851238139177962,0.11010881714832732
21,1,-0.3038167534458759,0.24309737710143114,-0.06686118276428893
21,2,0.23352149626970217,0.11292235395531523,-0.029997249038472507
21,3,-0.14173682627801187,0.03982102384325574,-0.03423150749483886
21,4,0.38409662111109244,0.291138741492545,-0.2486923667277826
21,5,-0.17020601423181997,0.1891991201029962,-0.12918907688504178
21,6,0.06590388839745456,0.05462531903797919,0.04443799167562457
21,7,-0.4612116704312238,0.37552399828158073,-0.003002122924173099
22,1,-0.32276759503552205,0.24582681353508776,-0.06850053027342802
22,2,0.22413019684950775,0.09501882581732825,-0.03160247004365844
22,3,-0.1532985822681222,0.04780088367679796,-0.0329083160010354
22,4,0.42516459691821473,0.3253492204367954,-0.22899589340416174
22,5,-0.23498909415681365,0.1657430597514385,-0.04675693455242354
22,6,0.15258957660579422,0.10736474590007421,0.03192530337373594
22,7,-0.41540362518318413,0.34602172341365345,-0.11480333582774499
23,1,-0.32366604278802186,0.2595256605637266,-0.07004574540955247
23,2,0.2021469102322569,0.13083779513657534,-0.01983633097094469
23,3,-0.17032147084406205,0.07551057139042235,-0.0048576124628735
23,4,0.22791305407447573,0.15337118829503035,0.012401633488636545
23,5,-0.1515578926234779,0.13244150245028474,-0.022638699704125825
23,6,0.10765627972517075,0.07780680192869711,0.038364677861356306
23,7,-0.39233874911771566,0.35013867196195153,-0.11718106330550995
24,1,-0.10403912082240802,0.1268330870777605,-0.13423649990147155
24,2,0.25123277084078555,0.10573865136379351,0.053334234323965134
24,3,-0.4458723750267296,0.2763632465571232,-0.18525282507076662
24,4,0.21049418808414042,0.46375411558806945,0.6018290304729862
24,5,-0.21243542791055908,0.5130094228159984,-0.30135265213073054
24,6,0.08103539268597237,0.2520452406005151,0.22032929132916207
24,7,-0.03304490762197926,0.17778827832783645,-0.2588502248557606
25,1,-0.05935400024105323,0.08632041592924009,-0.23314708549431873
25,2,0.16446988788368336,0.01703697374677393,0.06437843710272592
25,3,-0.3628596592558412,0.15574776545883579,0.01048151020484779
25,4,0.15567091268234395,0.40034116505541184,0.4750984358593434
25,5,-0.021092760156752856,0.2519445212746753,0.05452452071883285
25,6,0.09787563104633885,0.30840534552940985,0.348979717575323
25,7,0.5222420484011202,0.3218922974125379,0.1365443005852542
26,1,-0.17790348382023238,0.30843396976341936,-0.4917509932002096
26,2,0.04184066320827427,-0.10121228893383491,-0.22914024367983424
26,3,-0.19422731345770622,0.01947299138387265,-0.15386615467484732
26,4,-0.34091424675717585,-0.0061146347880008944,0.1675047912376764
26,5,-0.09822014575383171,0.1488407910987544,-0.10435793174413288
26,6,-0.1755767191752467,0.3767598253341115,0.4377632729011812
26,7,0.6704380435423887,0.5578526882063526,0.3827809416712489
27,1,-0.07203140402783716,0.09712623065755596,-0.2401245089950998
27,2,0.19627616139851708,-0.011334617254514772,-0.1267684113142801
27,3,-0.2590266898013684,0.10933902798801393,-0.21667865782778778
27,4,-0.252662562161635,0.03262163759739487,0.1654229815590984
27,5,-0.14217821242034584,0.07160765785112376,0.06778752964269112
27,6,-0.31191057661526206,0.2692081077117622,0.33311316975794786
27,7,0.8018034266609693,0.7481995640397073,0.7794652014159322
28,1,-0.23785540435038985,-0.021509490393485788,-0.45875812785403797
28,2,0.2979645842987105,0.12090627719023507,-0.08354577768610096
28,3,-0.2942425779691085,0.12142034815050479,-0.4541024595335016
28,4,-0.22974975247230517,-0.0014072498487502842,0.28407214599385755
28,5,0.13269673824867204,0.08800429355908537,0.1044663315661046
28,6,-0.2532123550267654,-0.1991217449289466,0.05000876887128946
28,7,0.5783267850816843,0.3652998937503431,0.5613953177745472
29,1,-0.3599534603041267,0.015898394100116578,-0.46364103082845276
29,2,0.25370799714026154,-0.009145596882939134,0.19198420039080036
29,3,-0.03889962420144197,-0.09997493639752145,-0.18888047020412824
